k,t,f_minnaert,f_strasberg,f_nn8,f_bem
0,0.0,256.689256130002,259.0553504436272,261.30218613323586,260.979036
1,0.02510460251046025,256.689256130002,259.33154152266826,261.4030058389753,261.076329
2,0.0502092050209205,256.689256130002,259.57768346060175,261.5120320788551,261.176255
3,0.07531380753138076,256.689256130002,259.82612624346956,261.69141023565294,261.338478
4,0.100418410041841,256.689256130002,260.10776055748755,261.9840991263465,261.610814
5,0.12552301255230125,256.689256130002,260.4382088520621,262.3835034313995,261.99738
6,0.1506276150627615,256.689256130002,260.8155128169827,262.8615618847605,262.466244
7,0.17573221757322174,256.689256130002,261.22277754614504,263.37304752536426,262.971458
8,0.200836820083682,256.689256130002,261.6337556707624,263.87417248188615,263.469332
9,0.22594142259414227,256.689256130002,262.0196705364267,264.3294851753044,263.924109
10,0.2510460251046025,256.689256130002,262.3601975549304,264.7204731222129,264.315355
11,0.27615062761506276,256.689256130002,262.65460123983326,265.049755598738,264.645201
12,0.301255230125523,256.689256130002,262.91171203029205,265.33158717471537,264.92712
13,0.3263598326359833,256.689256130002,263.13674372428716,265.57439511842387,265.17295
14,0.3514644351464435,256.689256130002,263.32503735065194,265.77734307908656,265.385765
15,0.37656903765690375,256.689256130002,263.4697422331099,265.93672530136934,265.560913
16,0.401673640167364,256.689256130002,263.57341882165895,266.0515752022402,265.695103
17,0.42677824267782427,256.689256130002,263.6540341333504,266.1276088836075,265.789716
18,0.45188284518828453,256.689256130002,263.7395212474534,266.1790716193251,265.854846
19,0.47698744769874474,256.689256130002,263.8552375839004,266.2218484685195,265.905065
20,0.502092050209205,256.689256130002,264.0120807364345,266.2735198815211,265.954473
21,0.5271966527196653,256.689256130002,264.2039558132681,266.3402505083129,266.013887
22,0.5523012552301255,256.689256130002,264.41056596366064,266.4272285928946,266.089779
23,0.5774058577405857,256.689256130002,264.60361326865194,266.53132841309707,266.18201
24,0.602510460251046,256.689256130002,264.74494777546425,266.63896532737215,266.279551
25,0.6276150627615062,256.689256130002,264.79214058694436,266.72689946189365,266.359484
26,0.6527196652719666,256.689256130002,264.7086465483187,266.7669658393556,266.39366
27,0.6778242677824268,256.689256130002,264.48695035895565,266.7395546991342,266.360283
28,0.702928870292887,256.689256130002,264.15321442214855,266.63740782568146,266.251874
29,0.7280334728033473,256.689256130002,263.761045065172,266.4730948477696,266.079025
30,0.7531380753138075,256.689256130002,263.37247038789644,266.267869816137,265.864855
31,0.7782426778242678,256.689256130002,263.0378866603591,266.0465324347684,265.635529
32,0.803347280334728,256.689256130002,262.78573168256906,265.8272170018585,265.411717
33,0.8284518828451882,256.689256130002,262.62028239950683,265.62036787063346,265.202708
34,0.8535564853556485,256.689256130002,262.5287333207628,265.4236464123297,265.006867
35,0.8786610878661087,256.689256130002,262.4891426601128,265.2324140646768,264.81668
36,0.9037656903765691,256.689256130002,262.47645044203995,265.03594833461466,264.621472
37,0.9288702928870293,256.689256130002,262.4660280665398,264.82538983935194,264.411647
38,0.9539748953974895,256.689256130002,262.4362899832462,264.59654569516397,264.181841
39,0.9790794979079498,256.689256130002,262.36861658031097,264.34164851978124,263.927857
40,1.00418410041841,256.689256130002,262.2453965548962,264.0583816526139,263.6468
41,1.0292887029288702,256.689256130002,262.04997123160564,263.74023430583605,263.334862
42,1.0543933054393306,256.689256130002,261.7723306881838,263.38347137424665,262.988201
