k,t,f_minnaert,f_strasberg,f_nn8,f_bem
0,0.0,256.689256130002,258.91975444900373,258.75850783581643,258.922939
1,0.02510460251046025,256.689256130002,258.69385311384457,258.5513645566818,258.696785
2,0.0502092050209205,256.689256130002,258.49825693521734,258.3783276807677,258.501353
3,0.07531380753138076,256.689256130002,258.3321742973816,258.2358810871734,258.33524
4,0.100418410041841,256.689256130002,258.1940311224055,258.1205279922956,258.197132
5,0.12552301255230125,256.689256130002,258.0829023491306,258.0291869445526,258.085852
6,0.1506276150627615,256.689256130002,257.99743293607213,257.95903411794586,258.000391
7,0.17573221757322174,256.689256130002,257.93709684374176,257.90783859538436,257.939938
8,0.200836820083682,256.689256130002,257.90097593764284,257.87392907851785,257.903909
9,0.22594142259414227,256.689256130002,257.8889432260272,257.85600771701,257.891938
10,0.2510460251046025,256.689256130002,257.9008790194346,257.8738983375518,257.903909
11,0.27615062761506276,256.689256130002,257.93683936848197,257.90783859538436,257.939939
12,0.301255230125523,256.689256130002,257.997397791388,257.9590033668345,258.00039
13,0.3263598326359833,256.689256130002,258.08280325109394,258.02915618507836,258.085852
14,0.3514644351464435,256.689256130002,258.1940617788317,258.12055876266214,258.197132
15,0.37656903765690375,256.689256130002,258.33221569195643,258.2358810871734,258.33524
16,0.401673640167364,256.689256130002,258.4984668763499,258.3783584818664,258.501351
17,0.42677824267782427,256.689256130002,258.69383847644764,258.5513645566818,258.696782
18,0.45188284518828453,256.689256130002,258.91983576753336,258.7585386822362,258.922933
19,0.47698744769874474,256.689256130002,259.17816141131175,259.0032664612087,259.181238
20,0.502092050209205,256.689256130002,259.47003575166696,259.3317129942374,259.473077
21,0.5271966527196653,256.689256130002,259.79666976418974,259.6968256447874,259.799691
22,0.5523012552301255,256.689256130002,260.158973967496,260.0970217082829,260.162066
23,0.5774058577405857,256.689256130002,260.5576922315164,260.53100200783297,260.560781
24,0.602510460251046,256.689256130002,260.99275662827955,260.9991824257144,260.995853
25,0.6276150627615062,256.689256130002,261.46341451642286,261.50377092350107,261.466523
26,0.6527196652719666,256.689256130002,261.967954256334,262.0465684496352,261.971042
27,0.6778242677824268,256.689256130002,262.5033221749497,262.62480322557104,262.506401
28,0.702928870292887,256.689256130002,263.0649727333402,263.2286317733281,263.068059
29,0.7280334728033473,256.689256130002,263.64658068424353,263.8431269869736,263.649666
30,0.7531380753138075,256.689256130002,264.2396952359635,264.4542017558377,264.242783
31,0.7782426778242678,256.689256130002,264.83359092067707,265.05174617897563,264.836679
32,0.803347280334728,256.689256130002,265.41511611344833,265.6276507860041,265.418187
33,0.8284518828451882,256.689256130002,265.968649153407,266.1711707131002,265.971736
34,0.8535564853556485,256.689256130002,266.4765154892295,266.66725622716973,266.479589
35,0.8786610878661087,256.689256130002,266.91926568427806,267.09720189437684,266.922339
36,0.9037656903765691,256.689256130002,267.2766810024527,267.4408540639168,267.279751
37,0.9288702928870293,256.689256130002,267.52888387797464,267.6784443406282,267.531931
38,0.9539748953974895,256.689256130002,267.65767778604067,267.7921629543188,267.660802
39,0.9790794979079498,256.689256130002,267.64870336156525,267.76745544954866,267.651779
40,1.00418410041841,256.689256130002,267.49234642419253,267.59466243265797,267.495445
41,1.0292887029288702,256.689256130002,267.1860081627721,267.2704383534823,267.18907
42,1.0543933054393306,256.689256130002,266.7345387096395,266.79911868943543,266.737619
43,1.0794979079497908,256.689256130002,266.15107577923726,266.1939538828005,266.154191
44,1.104602510460251,256.689256130002,265.4564893346222,265.47687185025245,265.459655
45,1.1297071129707112,256.689256130002,264.6784820064384,264.7404811047542,264.681613
46,1.1548117154811715,256.689256130002,263.8496467216164,263.9362429675306,263.852756
47,1.1799163179916319,256.689256130002,263.00569711887937,263.08570650692747,263.008844
48,1.205020920502092,256.689256130002,262.18342785112634,262.22987690218844,262.186604
49,1.2301255230125523,256.689256130002,261.4185573274407,261.43195663031264,261.421683
50,1.2552301255230125,256.689256130002,260.74377946284136,260.73929615466193,260.74689
51,1.2803347280334727,256.689256130002,260.1876723445468,260.1651817842296,260.190744
52,1.3054393305439331,256.689256130002,259.7732774966783,259.71608240518555,259.776389
53,1.3305439330543933,256.689256130002,259.51773671654814,259.41040296729346,259.520846
54,1.3556485355648535,256.689256130002,259.43139747593625,259.269396348174,259.4345
55,1.3807531380753137,256.689256130002,259.51774040261364,259.41040296729346,259.520846
56,1.405857740585774,256.689256130002,259.7732622444254,259.71608240518555,259.776389
57,1.4309623430962344,256.689256130002,260.18761375514975,260.1651817842296,260.190742
58,1.4560669456066946,256.689256130002,260.74376153939613,260.73932723721003,260.746893
59,1.4811715481171548,256.689256130002,261.4185703957108,261.4320189605557,261.421697
60,1.506276150627615,256.689256130002,262.1834527705323,262.22993942267055,262.186629
61,1.5313807531380752,256.689256130002,263.0057269346364,263.08570650692747,263.008897
