bin,is_bin_thumbnail,mesh_id_10k,source_10k,bin_scalar,non_sph_va,non_sph_vm,non_sph_w,eta_V,eta_A,eta_M,i11_over_i00,i22_over_i00,f_gt,f_minnaert,f_strasberg,f_pred_residual,f_pred_direct,ape_minnaert,ape_strasberg,ape_residual,ape_direct
0,False,VOF/bubble.0276.49.obj,VOF,0.9983170628547668,0.058062896,0.05503575,0.3442223,0.98171157,1.0030713,0.99831706,1.384577,1.4534061,5.35640348,5.255093770093691,5.315518262946958,5.354816933385837,5.358041535470953,1.8913756270337831,0.7632960662074995,0.029619624811448173,0.03058125619306353
0,False,VOF/bubble.0147.64.obj,VOF,1.0000005960464478,0.009880332,0.009493957,0.05898188,0.99995744,0.999998,1.0000006,1.0421213,1.2332448,5.303968959,5.255093770093691,5.303128119268438,5.302273798873048,5.305332132479998,0.9214833134227822,0.01585302889329736,0.03196021960262528,0.025701007877974753
0,False,LBM/bubble.0083.82.obj,LBM,1.0000007152557373,0.0106933,0.011113558,0.11272951,0.9999809,0.9999981,1.0000007,1.0771211,1.1289853,5.303166661683039,5.255093770093691,5.295133964049243,5.301166173373587,5.304418960679581,0.9064940752605315,0.15146983201253583,0.03772252386307851,0.023614173878231216
0,False,LBM/bubble.0078.121.obj,LBM,1.0000017881393433,0.0523653,0.056171134,0.19751763,0.9999601,0.99999416,1.0000018,1.6384678,1.8994635,5.364810486,5.255093770093691,5.360126287189096,5.366419062837076,5.3664378037994025,2.0451182048764927,0.08731340693446207,0.02998385201627674,0.030333183318394647
0,False,LBM/bubble.0108.119.obj,LBM,1.0000054836273193,0.03581788,0.04044416,0.16620536,0.99982923,0.9999579,1.0000055,1.6563278,1.7174697,5.3419713015161445,5.255093770093691,5.337835574967129,5.346538406454319,5.340631958860854,1.6263196958358155,0.07741948272619144,0.08549474866849502,0.02507206758880259
0,True,VOF/bubble.0227.32.obj,VOF,1.0000057220458984,0.025835909,0.026044147,0.12584513,0.9998539,0.9999839,1.0000057,1.3438406,1.5345962,5.325753379,5.255093770093691,5.323908631514802,5.3260704870837206,5.32492468162513,1.3267533037659536,0.03463824465609679,0.005954238980928616,0.015560190566423228
0,False,VOF/bubble.0200.57.obj,VOF,1.0000072717666626,0.0035035233,0.0036549042,0.16870962,0.99982333,0.9999676,1.0000073,1.0070795,1.0185187,5.294100465,5.255093770093691,5.292622813125163,5.296446874415789,5.297390148185289,0.7367955172779109,0.027911292666341254,0.04432121058717862,0.06213866183760317
0,False,VOF/bubble.0203.29.obj,VOF,1.0000112056732178,0.02210348,0.023885785,0.18710509,0.99974376,0.99995446,1.0000112,1.4058964,1.4361534,5.319985675,5.255093770093691,5.314883816606039,5.321881082020211,5.31760878850094,1.2197759330678883,0.09589985209802365,0.03562804744228028,0.04467843795575392
0,False,VOF/bubble.0194.11.obj,VOF,1.0000137090682983,0.040132787,0.035377022,0.20826703,0.9998397,0.99996907,1.0000137,1.005915,1.4179589,5.34063142,5.255093770093691,5.337389635496118,5.343493317255574,5.340185047196018,1.6016392665852537,0.06070039755490841,0.05358724522453684,0.0083580529880963
0,False,LBM/bubble.0060.8.obj,LBM,1.000015377998352,0.056880917,0.06742496,0.26656777,0.9996426,0.99987406,1.0000154,1.9297056,1.9824002,5.374041533,5.255093770093691,5.361290800688478,5.378335515788604,5.375032404077485,2.21337632349685,0.23726523573040142,0.07990230001454539,0.018438098615370754
1,False,VOF/bubble.0305.63.obj,VOF,1.0000170469284058,0.016250176,0.016178023,0.11196115,0.99933875,0.9999085,1.000017,1.1636922,1.2638214,5.309487132,5.255093770093691,5.3020137329696055,5.307264809620451,5.310821429628209,1.0244560454527438,0.14075557289427795,0.04185568821055476,0.025130442828788378
1,False,VOF/bubble.0199.11.obj,VOF,1.000024676322937,0.060940184,0.07072432,0.20820057,0.9992417,0.99982804,1.0000247,2.007776,2.1262257,5.381323328,5.255093770093691,5.37369235648983,5.385344816095615,5.384620214359599,2.3456973352542083,0.14180473918867811,0.07473046777715028,0.061265346061727705
1,False,VOF/bubble.0300.31.obj,VOF,1.0000247955322266,0.08594862,0.09976393,0.25049543,0.9993488,0.99989045,1.0000248,2.5399191,2.7057488,5.425765961,5.255093770093691,5.424518595349513,5.429832834870642,5.429849079667289,3.1455870403015553,0.022989669282696103,0.07495483402481426,0.0752542350082568
1,False,VOF/bubble.0188.7.obj,VOF,1.0000276565551758,0.015414581,0.01510969,0.26252466,0.99950445,0.999871,1.0000277,1.0525144,1.2378478,5.307159718,5.255093770093691,5.303059863130888,5.307204211746757,5.30790111289771,0.9810510833077154,0.07725139409705745,0.0008383721071253096,0.013969711429546734
1,True,LBM/bubble.0041.49.obj,LBM,1.0000287294387817,0.09776999,0.085354604,0.31572157,0.9996621,0.9997986,1.0000287,1.2598355,1.8232646,5.417165679,5.255093770093691,5.411438621176141,5.42165772346971,5.4167547136827405,2.991821157226035,0.10572055874274193,0.08292241249189294,0.007586353115479115
1,False,VOF/bubble.0268.48.obj,VOF,1.000030279159546,0.05404173,0.04872022,0.20344275,0.99910396,0.9998428,1.0000303,1.1692939,1.5679214,5.357843993,5.255093770093691,5.347104494167963,5.354948427200037,5.359624538058336,1.9177531678890327,0.20044441096209917,0.054043488458156264,0.033232491663843594
1,False,LBM/bubble.0076.113.obj,LBM,1.0000344514846802,0.10502456,0.114301905,0.33334538,0.9995967,0.9998512,1.0000345,2.375194,2.726324,5.448453715,5.255093770093691,5.444775086224701,5.451582780727071,5.45193794291129,3.5488957972419826,0.06751693173370805,0.057430344291185556,0.06394893108291928
1,False,LBM/bubble.0107.168.obj,LBM,1.0000460147857666,0.020791054,0.02208916,0.1858934,0.99902135,0.9996835,1.000046,1.0712924,1.240999,5.314718373532348,5.255093770093691,5.302511665793799,5.312300368740432,5.315753662383593,1.1218770073611446,0.22967741431680933,0.045496386110647165,0.019479655900505464
1,False,LBM/bubble.0104.118.obj,LBM,1.0000466108322144,0.054851953,0.05043517,0.2973316,0.9978841,0.9995516,1.0000466,1.222547,1.5399407,5.356051412922179,5.255093770093691,5.333787365223581,5.351046196979393,5.357630210218847,1.8849266940364837,0.41568024617692906,0.09344973669801379,0.0294768883819719
1,False,VOF/bubble.0355.9.obj,VOF,1.0000478029251099,0.028557744,0.026300522,0.331609,0.9994378,0.9997949,1.0000478,1.037945,1.3373634,5.322767476,5.255093770093691,5.316975564800103,5.324347055944689,5.321532226243788,1.271400755555182,0.10881390603689772,0.02967591486592975,0.02320690809399684
2,False,VOF/bubble.0164.54.obj,VOF,1.0000501871109009,0.026646115,0.025560828,0.14527087,0.9990108,0.99981415,1.0000502,1.1374352,1.3879241,5.323467271,5.255093770093691,5.316079801450608,5.321129366054071,5.324345793288498,1.2843790977880056,0.13877176609379485,0.04391695913423713,0.016502821258689022
2,False,VOF/bubble.0223.65.obj,VOF,1.000058889389038,0.009528548,0.009832304,0.2821722,0.9992407,0.9997407,1.0000589,1.0207242,1.0718565,5.298256413,5.255093770093691,5.293497431182639,5.299749279303773,5.300725507807303,0.8146574937446166,0.08982165917232221,0.028176558237356725,0.04660202555022985
2,False,VOF/bubble.0179.46.obj,VOF,1.0000594854354858,0.046988435,0.056300238,0.23736505,0.9991418,0.9996995,1.0000595,1.6881096,1.7181638,5.35750958,5.255093770093691,5.3386257081069575,5.360004650198033,5.3573255688584895,1.911630924350297,0.3524748133636162,0.0465714556507215,0.0034346395235150848
2,False,VOF/bubble.0228.11.obj,VOF,1.000070571899414,0.042667434,0.039949827,0.27053627,0.99856925,0.9996207,1.0000706,1.1200798,1.4861842,5.343198144,5.255093770093691,5.335462121609603,5.345172652997335,5.342922490541777,1.648907106416097,0.14478262235293615,0.03695369222930194,0.0051589600608846695
2,True,LBM/bubble.0088.87.obj,LBM,1.0000708103179932,0.07187023,0.08421116,0.27812612,0.99879146,0.9995787,1.0000708,2.2676885,2.374864,5.40044618,5.255093770093691,5.395137174172699,5.405726221732366,5.402754094919305,2.6914889077981647,0.09830680003743246,0.0977704722235739,0.04273563410097387
2,False,VOF/bubble.0181.46.obj,VOF,1.0000724792480469,0.033778794,0.034913287,0.36413577,0.998749,0.99966383,1.0000725,1.387354,1.548956,5.331046719,5.255093770093691,5.324049096348929,5.331914933435035,5.328908148860174,1.424728630413436,0.13126170187424316,0.016286003120949143,0.04011538920121676
2,False,VOF/bubble.0181.59.obj,VOF,1.0000735521316528,0.013274331,0.013831511,0.37153417,0.9989825,0.99969125,1.0000736,1.0404569,1.1172906,5.300933932,5.255093770093691,5.294916004962891,5.302023172224951,5.302663886314768,0.8647563333998141,0.11352578836685712,0.020548081506451304,0.03263489673630109
2,False,LBM/bubble.0049.21.obj,LBM,1.0000817775726318,0.087399684,0.11310653,0.33093697,0.99771243,0.99910635,1.0000818,2.376694,2.5058608,5.431682108,5.255093770093691,5.406618405376467,5.432627625936601,5.433709585130957,3.2510801330995305,0.46143537352118114,0.017407460852841845,0.037326873897329464
2,False,LBM/bubble.0089.82.obj,LBM,1.0000889301300049,0.11905447,0.13816303,0.3573078,0.997737,0.9990892,1.0000889,2.483235,2.8473747,5.479132598675112,5.255093770093691,5.457298438456861,5.475448248213149,5.4807135061798835,4.088947010254787,0.39849665663376854,0.06724331626604815,0.02885324412761502
2,False,LBM/bubble.0038.28.obj,LBM,1.0001028776168823,0.08517762,0.08726621,0.2874827,0.9981297,0.99905413,1.0001029,1.5194439,1.9690205,5.408406519,5.255093770093691,5.394085062751175,5.408394149939256,5.410440598937496,2.8347120056104105,0.2647999220937317,0.00022870064778213856,0.03760959776878624
3,False,VOF/bubble.0278.38.obj,VOF,1.0001187324523926,0.061975524,0.07233553,0.2622924,0.99725884,0.99913704,1.0001187,1.7001507,1.8875033,5.378151207,5.255093770093691,5.354434327435726,5.376603900218193,5.381332781243028,2.2880992402397053,0.4409857337853415,0.02877023576045169,0.0591573966698236
3,False,VOF/bubble.0281.61.obj,VOF,1.0001258850097656,0.023627173,0.02367043,0.13439313,0.99744606,0.9995857,1.0001259,1.250683,1.4117025,5.320011031,5.255093770093691,5.313196327512889,5.318406807789727,5.320314363556485,1.220246734979173,0.12809566460296803,0.03015450909640925,0.0057017279610445375
3,False,VOF/bubble.0270.60.obj,VOF,1.0001288652420044,0.12669457,0.10402227,0.40686208,0.9956951,0.9997026,1.0001289,1.5194162,2.0803072,5.453270776,5.255093770093691,5.436923342174663,5.448824959875404,5.45229476157254,3.6340943636705543,0.2997730077384497,0.08152568077422635,0.017897780388152127
3,False,VOF/bubble.0268.29.obj,VOF,1.0001369714736938,0.042151976,0.03814707,0.23748675,0.9947607,0.9993474,1.000137,1.0217322,1.2781307,5.336814602,5.255093770093691,5.309693187246986,5.331061790558746,5.3390087405882936,1.5312660828742983,0.5081948086195377,0.1077948527403978,0.04111326234701344
3,True,VOF/bubble.0282.6.obj,VOF,1.0001474618911743,0.016601898,0.017956799,0.34731445,0.998524,0.99925435,1.0001475,1.0747267,1.1534562,5.30465152,5.255093770093691,5.296216704655662,5.3054704189647035,5.3063795645756,0.93423196075111,0.15900790678777893,0.01543737532269282,0.032576024439774164
3,False,VOF/bubble.0268.45.obj,VOF,1.0001723766326904,0.059598695,0.06551546,0.3774542,0.99815375,0.99930596,1.0001724,1.6939754,1.932397,5.371773353,5.255093770093691,5.361370356669223,5.373925233515432,5.371978798459973,2.1720868554729105,0.19366037334704755,0.04005903402886351,0.0038245370098946067
3,False,LBM/bubble.0097.106.obj,LBM,1.000183343887329,0.094739415,0.11415138,0.29701415,0.99247813,0.9967027,1.0001833,2.747529,2.8317373,5.4429394557976565,5.255093770093691,5.432840290743526,5.446747420269077,5.445288752971709,3.451180878080102,0.18554615821370815,0.06996154380082342,0.043162287457557305
3,False,LBM/bubble.0064.16.obj,LBM,1.0001921653747559,0.09375056,0.101506814,0.3457505,0.9952785,0.9979834,1.0001922,2.1459885,2.4065843,5.426484831,5.255093770093691,5.405567707863596,5.422865756956396,5.429144875500956,3.158417764796829,0.3854635880839531,0.06669278835774067,0.04901966160045754
3,False,VOF/bubble.0209.53.obj,VOF,1.0001956224441528,0.033445526,0.0336579,0.5003581,0.9982415,0.99924016,1.0001956,1.0464135,1.1377494,5.318123161,5.255093770093691,5.295798682801058,5.318469736782158,5.3207317038535145,1.1851811061565847,0.4197811431419388,0.006516881457352051,0.0490500647417129
3,False,VOF/bubble.0289.62.obj,VOF,1.0001991987228394,0.07465051,0.08628013,0.46435845,0.99757046,0.99911106,1.0001992,2.1559098,2.2035193,5.395803904,5.255093770093691,5.380722902211937,5.399414966637071,5.396834578386059,2.60776960041114,0.27949499382072757,0.06692353357011276,0.01910140554394548
4,False,VOF/bubble.0301.23.obj,VOF,1.000221610069275,0.10711643,0.0862338,0.34828022,0.9835283,0.9993029,1.0002216,1.2499553,1.8197112,5.424270613,5.255093770093691,5.413307252802066,5.428123070806788,5.42232503818672,3.1188864821908804,0.20211676334249995,0.07102259606213757,0.035867952616834654
4,False,VOF/bubble.0251.0.obj,VOF,1.000224232673645,0.016624138,0.018845126,0.37740034,0.9978448,0.9989396,1.0002242,1.0324047,1.0874889,5.30359375,5.255093770093691,5.29387105769858,5.305919876015797,5.305504160274799,0.9144738868113625,0.1833227196449531,0.04385943051910714,0.036021052230832296
4,False,LBM/bubble.0105.47.obj,LBM,1.000260353088379,0.08982944,0.109174594,0.29363966,0.9935747,0.997128,1.0002604,2.7644057,2.821933,5.4353683118282445,5.255093770093691,5.432160452302598,5.44311630861667,5.437979925942768,3.3166941298577184,0.059018254911374,0.14254777862181675,0.04804852154803016
4,False,LBM/bubble.0102.201.obj,LBM,1.0002988576889038,0.058595303,0.06845273,0.29052892,0.9924797,0.99723727,1.0002989,1.8961941,1.963087,5.372729661322541,5.255093770093691,5.359356004853611,5.37824997069475,5.374934369641001,2.1894995401628607,0.2489173532255924,0.10274682926908363,0.041035161964896844
4,True,VOF/bubble.0274.6.obj,VOF,1.0003058910369873,0.05289301,0.055294365,0.47917017,0.9965174,0.99877614,1.0003059,1.4467741,1.640264,5.351279682,5.255093770093691,5.332914791090749,5.3510842226368345,5.352701874203144,1.797437577965669,0.3431869010888171,0.0036525723711163553,0.02657667488260202
4,False,VOF/bubble.0224.41.obj,VOF,1.0003432035446167,0.17058136,0.14105584,0.4432848,0.97046155,0.9999542,1.0003432,1.659711,2.3090172,5.516726936,5.255093770093691,5.500548097289147,5.519113181708923,5.518669490750784,4.742543340309164,0.2932687968526576,0.04325473666915213,0.03521208813340553
