bin,is_bin_thumbnail,mesh_id_10k,source_10k,bin_scalar,non_sph_va,non_sph_vm,non_sph_w,eta_V,eta_A,eta_M,i11_over_i00,i22_over_i00,f_gt,f_minnaert,f_strasberg,f_pred_residual,f_pred_direct,ape_minnaert,ape_strasberg,ape_residual,ape_direct
0,False,LBM/bubble.0054.6.obj,LBM,0.17046041786670685,0.52799624,0.7165886,0.9085467,0.17046042,0.51522684,1.4764693,3.550821,4.1204534,6.849278461,5.255093770093691,5.62031668297362,6.799206385673314,6.779888763584276,23.275220886165535,17.942937858697466,0.731056207041344,1.0130949969523153
0,False,LBM/bubble.0023.10.obj,LBM,0.196024090051651,0.49831843,0.70462424,0.8783636,0.19602409,0.47036073,1.2513943,16.260195,16.439062,7.004015678,5.255093770093691,6.023894467715541,6.766356563303805,6.775416709754079,24.9702740300792,13.993703831404513,3.3931836480991184,3.263827192220066
0,False,LBM/bubble.0045.65.obj,LBM,0.2002067267894745,0.566824,0.794298,0.9718302,0.20020673,0.60294807,2.2275875,4.008247,4.7127624,6.740546447,5.255093770093691,5.750537427017439,6.866303081948739,6.809983368910591,22.037570523194546,14.687370345518236,1.865674184393598,1.0301378746747627
0,False,LBM/bubble.0015.5.obj,LBM,0.260547012090683,0.5767429,0.80398875,0.95607686,0.260547,0.827794,2.88512,1.6851993,2.2306776,6.61945437,5.255093770093691,5.446661024505926,6.643486477597632,6.528101438833455,20.61137555520772,17.717371854835733,0.3630526967078737,1.380067390154763
0,False,LBM/bubble.0097.140.obj,LBM,0.35348084568977356,0.4500044,0.7217052,0.9675478,0.35348085,0.813764,2.266943,1.9508045,2.2875578,6.002448036,5.255093770093691,5.40380299901814,6.074445623119303,6.019733514449465,12.450824420703224,9.973348097167262,1.1994703942040597,0.2879738124477643
0,True,VOF/bubble.0234.19.obj,VOF,0.4494830071926117,0.28819695,0.52121955,0.7997642,0.449483,0.63057923,1.0953125,4.802415,4.875511,6.146113647,5.255093770093691,5.57437375237436,6.1503441587541285,6.115844887488333,14.497289312917733,9.30246213238693,0.06883230602469505,0.492486166871351
0,False,LBM/bubble.0084.173.obj,LBM,0.4768226444721222,0.34212872,0.54879725,0.89618653,0.47682264,0.82059056,1.5079062,2.407695,2.4788923,5.878581631,5.255093770093691,5.40390601907952,5.849435466462513,5.854083399867098,10.606093442990069,8.07466225215509,0.4958026674970149,0.4167371088922879
0,False,VOF/bubble.0298.88.obj,VOF,0.5378144383430481,0.35710636,0.50722754,0.81889045,0.53781444,0.72412384,1.0539943,18.028053,18.369883,6.226851344,5.255093770093691,6.104092504813172,6.256975575160748,6.261336248068903,15.605922162292579,1.9714432287694539,0.4837795138593586,0.55380965698068
0,False,VOF/bubble.0189.26.obj,VOF,0.5721543431282043,0.31597582,0.47707772,0.8154898,0.57215434,0.73969144,1.0462089,9.889242,10.093017,6.116335503,5.255093770093691,5.827873053629017,6.104151067174577,6.101563155799053,14.08100867723622,4.7162626907810274,0.19921137124421867,0.24152283983933198
0,False,LBM/bubble.0067.146.obj,LBM,0.5747309923171997,0.40946835,0.6406252,0.93801594,0.574731,1.0742935,2.1176412,1.3400213,1.7685626,5.729929844,5.255093770093691,5.370565884933265,5.690633477648421,5.677235356434275,8.286943938825464,6.271699110645073,0.6858088566778381,0.9196358245276515
1,False,LBM/bubble.0105.67.obj,LBM,0.6182612180709839,0.29993683,0.42078727,0.81085885,0.6182612,0.80265355,1.1455526,1.3575451,2.0350506,5.840348262,5.255093770093691,5.487051550966191,5.839925889118416,5.855814351308111,10.020883441390732,6.049240476505834,0.007231981084619686,0.26481450444900045
1,False,LBM/bubble.0108.216.obj,LBM,0.6519933938980103,0.334832,0.44778335,0.68071306,0.6519934,0.8304188,1.0209332,18.007542,18.10016,6.117162723,5.255093770093691,6.058884193954867,6.130481108655288,6.128925167640563,14.092627447443975,0.9527052276378138,0.21772161798495432,0.19228595303403914
1,False,LBM/bubble.0093.69.obj,LBM,0.6780683994293213,0.31012905,0.3855177,0.7309446,0.6780684,0.953806,1.234677,1.312485,1.9221027,5.718435794,5.255093770093691,5.439725796825317,5.71240980729063,5.725806624800227,8.10260079150431,4.873885223422749,0.10537823500078594,0.1288959265392202
1,False,VOF/bubble.0178.33.obj,VOF,0.6795656681060791,0.34442878,0.4683471,0.7891414,0.67956567,0.8488957,1.0339514,15.113569,15.384815,6.13805574,5.255093770093691,6.00935732967121,6.115062807407082,6.117971941424477,14.385043201095298,2.0967292540225526,0.37459634722898083,0.3272013065088842
1,False,VOF/bubble.0197.58.obj,VOF,0.7121317386627197,0.30307698,0.48573825,0.849096,0.71213174,0.80068123,1.0709916,8.196863,8.494208,6.084156346,5.255093770093691,5.777919878861577,6.0542925751208205,6.069977987124181,13.626582368340568,5.033343157589251,0.4908448958385757,0.23303738545674585
