series,bin,n,scalar_lo,scalar_hi,mape_pct,sem_ape_pct,max_ape_pct
minnaert,0,10,1.004309058189392,1.0478989839553834,1.5120502863573662,0.2444468985432517,3.093149849973094
minnaert,1,10,1.0478989839553834,1.0874375343322753,1.7071451700109992,0.38671730024010836,4.739550681088677
minnaert,2,10,1.0874375343322753,1.1557947158813477,7.519880680224411,1.6795387067890302,13.380568148053213
minnaert,3,10,1.1557947158813477,1.2752126455307007,4.126986635562455,0.930986320518491,9.622908065174283
minnaert,4,10,1.2752126455307007,1.4333897829055786,7.061799459474736,1.0616079780522305,11.220787132833387
minnaert,5,10,1.4333897829055786,1.6601215600967407,7.410264741590458,1.4245927540016836,14.819497054295585
minnaert,6,10,1.6601215600967407,2.012615299224854,12.752595539639328,1.8919374417635462,20.61137555520772
minnaert,7,10,2.012615299224854,2.548015403747559,11.71653966221388,1.6325559564115038,19.70100583279132
minnaert,8,10,2.548015403747559,3.8822093963623048,12.147071319926157,1.6838799342323332,23.275220886165535
minnaert,9,10,3.8822093963623048,18.028053283691406,16.692301910714512,1.5770976848676175,24.9702740300792
strasberg,0,10,1.004309058189392,1.0478989839553834,0.21064961441633806,0.07363550263192015,0.6779391892438481
strasberg,1,10,1.0478989839553834,1.0874375343322753,0.3772676585436272,0.17269800456578008,1.8608923381516946
strasberg,2,10,1.0874375343322753,1.1557947158813477,4.043803686439179,1.2806193449490397,12.000044237837908
strasberg,3,10,1.1557947158813477,1.2752126455307007,2.3011345269104746,0.7577536583549056,7.440898151111296
strasberg,4,10,1.2752126455307007,1.4333897829055786,4.846332900942953,0.9986148873079056,9.481848217372216
strasberg,5,10,1.4333897829055786,1.6601215600967407,4.964167475358968,1.3234268250279662,12.208993291511563
strasberg,6,10,1.6601215600967407,2.012615299224854,9.449818670691403,1.8460962656575217,18.02967662014428
strasberg,7,10,2.012615299224854,2.548015403747559,8.472687900728053,1.5959066157359572,16.682643317839055
strasberg,8,10,2.548015403747559,3.8822093963623048,6.714606754167134,1.6837686128965048,17.942937858697466
strasberg,9,10,3.8822093963623048,18.028053283691406,7.885190196266582,1.5061558314083747,14.687370345518236
residual,0,10,1.004309058189392,1.0478989839553834,0.0480017392641314,0.011369714700285683,0.11836385236957245
residual,1,10,1.0478989839553834,1.0874375343322753,0.03981138050895933,0.016469389307200048,0.1708595952259533
residual,2,10,1.0874375343322753,1.1557947158813477,0.21943649497241088,0.07264614912037427,0.6880391481100996
residual,3,10,1.1557947158813477,1.2752126455307007,0.1633749940559954,0.05970744528619421,0.5340185415328232
residual,4,10,1.2752126455307007,1.4333897829055786,0.21179874989918374,0.0659886586373024,0.6858088566778381
residual,5,10,1.4333897829055786,1.6601215600967407,0.5071713798246598,0.17472026907322147,1.929987416272465
residual,6,10,1.6601215600967407,2.012615299224854,0.32927278762513695,0.09180165571679157,1.0164477686929079
residual,7,10,2.012615299224854,2.548015403747559,0.7720937733258226,0.36386883244670365,3.7769998284885404
residual,8,10,2.548015403747559,3.8822093963623048,0.3025055340050329,0.0734436986131996,0.731056207041344
residual,9,10,3.8822093963623048,18.028053283691406,0.9062565729774498,0.3378263991828877,3.3931836480991184
direct,0,10,1.004309058189392,1.0478989839553834,0.026398886664494338,0.0071130624812001785,0.06213866183760317
direct,1,10,1.0478989839553834,1.0874375343322753,0.03312289618056188,0.0047832163662182,0.055339300120486073
direct,2,10,1.0874375343322753,1.1557947158813477,0.08517191986205438,0.030092319750327907,0.30669219405132137
direct,3,10,1.1557947158813477,1.2752126455307007,0.08926060654620663,0.04936225615814705,0.5280489113385667
direct,4,10,1.2752126455307007,1.4333897829055786,0.16138504276612858,0.08739476904819868,0.9196358245276515
direct,5,10,1.4333897829055786,1.6601215600967407,0.3101024600557026,0.09654453113664645,0.8184974265492574
direct,6,10,1.6601215600967407,2.012615299224854,0.41628496600480125,0.15525872959531126,1.380067390154763
direct,7,10,2.012615299224854,2.548015403747559,0.42101731735501663,0.14680858326600124,1.4470341781009897
direct,8,10,2.548015403747559,3.8822093963623048,0.33265284892065833,0.11497241200164349,1.0130949969523153
direct,9,10,3.8822093963623048,18.028053283691406,0.7622796760323988,0.3024425820456574,3.263827192220066
