bin,is_bin_thumbnail,mesh_id_10k,source_10k,bin_scalar,non_sph_va,non_sph_vm,non_sph_w,eta_V,eta_A,eta_M,i11_over_i00,i22_over_i00,f_gt,f_minnaert,f_strasberg,f_pred_residual,f_pred_direct,ape_minnaert,ape_strasberg,ape_residual,ape_direct
0,False,VOF/bubble.0180.12.obj,VOF,0.05711418514255355,0.032089215,0.036586896,0.40617606,0.99648035,0.9977107,1.0003699,1.0220689,1.0526782,5.319640802,5.255093770093691,5.2930367314397975,5.324518406992987,5.321802477314212,1.2133719983883553,0.5001102809460491,0.09169049517691173,0.04063573828892783
0,False,VOF/bubble.0166.66.obj,VOF,0.06433817622683408,0.021711498,0.023418127,0.38407743,0.99806035,0.9989945,1.0001826,1.0418926,1.0488304,5.308152867,5.255093770093691,5.29301476761274,5.311852206567494,5.30972121711059,0.9995774092372203,0.2851858220092311,0.0696916547089591,0.029546061499837368
0,False,VOF/bubble.0109.37.obj,VOF,0.06693677080908071,0.0019468637,0.0020291281,0.06082209,0.9999505,0.999997,1.0000011,1.0288264,1.0604117,5.293829507,5.255093770093691,5.29317259198431,5.293989453833147,5.297182389379274,0.7317148550985488,0.012409070122516434,0.0030213824025787186,0.06333566985564264
0,False,VOF/bubble.0296.16.obj,VOF,0.10099104525544292,0.0073568895,0.0074655735,0.22125131,0.9996217,0.9998969,1.000019,1.0101367,1.100481,5.297790488,5.255093770093691,5.294702134005185,5.298272133963829,5.300329955844619,0.8059344363092864,0.05829513269373483,0.009091449820822455,0.04793447099070464
0,True,VOF/bubble.0230.30.obj,VOF,0.11515664531641302,0.009588582,0.010056204,0.2684366,0.99925333,0.99975777,1.0000454,1.0435721,1.1065952,5.299030809,5.255093770093691,5.294446193951131,5.299751941532366,5.301241791753155,0.8291523580441398,0.08651799195206758,0.013608762778696094,0.0417242856825806
0,False,VOF/bubble.0241.6.obj,VOF,0.13588931910446478,0.025134733,0.027647903,0.4419985,0.99740607,0.99865997,1.0002617,1.0753951,1.1130552,5.310914264,5.255093770093691,5.294582341312321,5.3132712250963925,5.312807833368236,1.0510524390252025,0.3075162180339661,0.04437957344499312,0.03565430120142562
0,False,VOF/bubble.0209.53.obj,VOF,0.14535860211112453,0.033445526,0.0336579,0.5003581,0.9982415,0.99924016,1.0001956,1.0464135,1.1377494,5.318123161,5.255093770093691,5.295798682801058,5.318469736782158,5.3207317038535145,1.1851811061565847,0.4197811431419388,0.006516881457352051,0.0490500647417129
0,False,VOF/bubble.0165.25.obj,VOF,0.16689949193550854,0.0072777453,0.0072952975,0.16257998,0.99980533,0.9999637,1.0000085,1.0264174,1.1647955,5.299330085,5.255093770093691,5.297962622054977,5.29947632289524,5.301608971641109,0.8347529630494726,0.02580444929998882,0.002759554375626087,0.04300329672912864
0,False,VOF/bubble.0283.12.obj,VOF,0.1676772860158258,0.014586777,0.015536337,0.32798713,0.9983162,0.999406,1.0001132,1.0498004,1.1601112,5.303450776,5.255093770093691,5.296986696539265,5.303977090917114,5.305002006527112,0.911802672424944,0.12188440571537658,0.009924008713256773,0.029249456488443633
0,False,VOF/bubble.0179.8.obj,VOF,0.17486515560426216,0.0106982095,0.011884616,0.10857178,0.99988174,0.9999858,1.0000037,1.0807207,1.1551193,5.303904923,5.255093770093691,5.296246799341747,5.3016055036757574,5.304970386345334,0.9202871019547035,0.14438651841296551,0.04335332849334171,0.02008828138517132
1,False,VOF/bubble.0256.15.obj,VOF,0.18675148228139768,0.030107073,0.03270536,0.48205447,0.9971568,0.99848694,1.0003462,1.0611022,1.1764728,5.316144902,5.255093770093691,5.297757597247608,5.316880228228842,5.318368264953313,1.1484098539778471,0.3458766661058164,0.013831944809595388,0.04182284332537726
1,False,VOF/bubble.0212.34.obj,VOF,0.21258297786747032,0.025473269,0.028092619,0.38871005,0.9974395,0.99882793,1.0002224,1.1130676,1.1800201,5.313615196,5.255093770093691,5.297313625585203,5.31414970207201,5.315038277656939,1.1013485874995823,0.3067886893102116,0.010059179151935532,0.026781797409985812
