bin,is_bin_thumbnail,mesh_id_10k,source_10k,bin_scalar,non_sph_va,non_sph_vm,non_sph_w,eta_V,eta_A,eta_M,i11_over_i00,i22_over_i00,f_gt,f_minnaert,f_strasberg,f_pred_residual,f_pred_direct,ape_minnaert,ape_strasberg,ape_residual,ape_direct
0,False,VOF/bubble.0151.77.obj,VOF,0.003791315946727991,0.003791316,0.0038761888,0.12125956,0.9998854,0.9999867,1.0000037,1.0173955,1.0901481,5.295398391,5.255093770093691,5.294141124832973,5.2958175909230425,5.298566128187311,0.7611253758510532,0.023742617159150152,0.007916305669370977,0.05982056407114754
0,False,VOF/bubble.0118.54.obj,VOF,0.006482635624706745,0.0064826356,0.006749129,0.22453883,0.9996798,0.99991655,1.0000179,1.0662258,1.0850723,5.296516318,5.255093770093691,5.2937970228096125,5.297831361429631,5.299128316100166,0.7820715621235155,0.051341202917589215,0.02482845989091718,0.0493153979586397
0,False,VOF/bubble.0170.62.obj,VOF,0.006669201888144016,0.006669202,0.006919185,0.187719,0.9997509,0.9999463,1.0000125,1.0505403,1.1453009,5.29800562,5.255093770093691,5.29612408938146,5.298167014768758,5.3004695962176624,0.8099623326996214,0.03551394153748276,0.003046330644670535,0.04650761804331214
0,False,VOF/bubble.0223.65.obj,VOF,0.009528548456728458,0.009528548,0.009832304,0.2821722,0.9992407,0.9997407,1.0000589,1.0207242,1.0718565,5.298256413,5.255093770093691,5.293497431182639,5.299749279303773,5.300725507807303,0.8146574937446166,0.08982165917232221,0.028176558237356725,0.04660202555022985
0,False,VOF/bubble.0147.64.obj,VOF,0.00988033227622509,0.009880332,0.009493957,0.05898188,0.99995744,0.999998,1.0000006,1.0421213,1.2332448,5.303968959,5.255093770093691,5.303128119268438,5.302273798873048,5.305332132479998,0.9214833134227822,0.01585302889329736,0.03196021960262528,0.025701007877974753
0,True,VOF/bubble.0182.66.obj,VOF,0.010935286991298199,0.010935287,0.011797055,0.3199846,0.99891007,0.99958736,1.000094,1.0506383,1.0722151,5.299077084,5.255093770093691,5.293437962823265,5.301149241757604,5.3011210892891585,0.8300183826182235,0.1064170437105441,0.039104125581795345,0.03857285441892917
0,False,VOF/bubble.0181.59.obj,VOF,0.013274330645799637,0.013274331,0.013831511,0.37153417,0.9989825,0.99969125,1.0000736,1.0404569,1.1172906,5.300933932,5.255093770093691,5.294916004962891,5.302023172224951,5.302663886314768,0.8647563333998141,0.11352578836685712,0.020548081506451304,0.03263489673630109
0,False,VOF/bubble.0190.58.obj,VOF,0.013563979417085648,0.013563979,0.013918815,0.25369498,0.99932015,0.9997537,1.0000471,1.1144904,1.2534496,5.305581338,5.255093770093691,5.302123822946217,5.305377656096073,5.30613350065286,0.9515935142621131,0.06516750632054448,0.003839011994184895,0.010407203616033896
0,False,VOF/bubble.0182.50.obj,VOF,0.013592517003417015,0.013592517,0.013309403,0.0989907,0.99989694,0.9999881,1.0000031,1.1580563,1.3040441,5.308316112,5.255093770093691,5.305325914012984,5.306713183688253,5.308731347291746,1.002621938546477,0.05633044309957476,0.030196549676517973,0.007822354264239852
0,False,VOF/bubble.0060.6.obj,VOF,0.013793553225696087,0.013793553,0.014685915,0.15158522,0.9998657,0.9999817,1.0000054,1.2773018,1.331653,5.308935319,5.255093770093691,5.306547057598741,5.3097433193616945,5.308084613894565,1.0141684852255985,0.044985694075258625,0.015219630926809115,0.016024024673830833
1,False,VOF/bubble.0334.43.obj,VOF,0.014744631014764309,0.014744631,0.015627276,0.093143545,0.9999026,0.99999213,1.000003,1.232635,1.3511093,5.310954972,5.255093770093691,5.30790581986352,5.309699682281437,5.3103877743482935,1.0518108739542447,0.05741250213107926,0.023635856925570038,0.010679767663199901
1,False,VOF/bubble.0322.5.obj,VOF,0.015017535537481308,0.015017536,0.013197064,0.16952042,0.9962816,0.9998497,1.0001072,1.0549037,1.1462377,5.306125239,5.255093770093691,5.296100969418296,5.303892493923715,5.3071077022967215,0.9617464083061645,0.18891882739641652,0.042078635081484315,0.01851564470247269
1,False,VOF/bubble.0206.53.obj,VOF,0.015932196751236916,0.015932197,0.016966762,0.32060525,0.998316,0.9993001,1.0001183,1.0407108,1.1982489,5.305943558,5.255093770093691,5.300000056302747,5.306379464796622,5.306952071070179,0.9583552359813747,0.11201592388391712,0.008215443527757906,0.019007233287627573
1,False,VOF/bubble.0062.7.obj,VOF,0.01631660759449005,0.016316608,0.016688962,0.35598588,0.99839354,0.99944943,1.0001032,1.1244668,1.1628042,5.304509472,5.255093770093691,5.296604584431631,5.305151064758423,5.305402966778793,0.9315791057995442,0.1490220275804031,0.012095232590484516,0.01684406038878756
1,True,VOF/bubble.0182.59.obj,VOF,0.01733599603176117,0.017335996,0.017385256,0.25202227,0.9994697,0.99985677,1.0000263,1.1397504,1.2825828,5.310120304,5.255093770093691,5.303916957865006,5.308984788850506,5.310077590106337,1.0362577635926418,0.11682119763503078,0.0213839816140895,0.0008043865528013276
1,False,VOF/bubble.0298.57.obj,VOF,0.017624778673052788,0.017624779,0.018343722,0.13867503,0.999833,0.9999782,1.0000052,1.2869138,1.3694638,5.313757244,5.255093770093691,5.30902679400945,5.3133677629574345,5.312821133441878,1.103992358185887,0.08902269662187767,0.0073296732364819235,0.017616735487475322
1,False,VOF/bubble.0119.49.obj,VOF,0.017768001183867455,0.017768001,0.018480193,0.29103428,0.9989899,0.9996789,1.000064,1.1912581,1.2817957,5.309702383,5.255093770093691,5.303050086714772,5.309116496354164,5.309341449835885,1.0284684332053964,0.12528567150066255,0.011034265267140872,0.006797615724584599
1,False,VOF/bubble.0272.23.obj,VOF,0.01835622824728489,0.018356228,0.019613426,0.22853395,0.9993062,0.99982154,1.0000309,1.2983167,1.3756002,5.313462452,5.255093770093691,5.309497442111711,5.314166769482248,5.312032686599346,1.098505587149465,0.07462196118081098,0.013255339406476843,0.026908356153259417
1,False,VOF/bubble.0194.33.obj,VOF,0.01944601908326149,0.01944602,0.020760598,0.39097103,0.997992,0.9990844,1.0001847,1.0454957,1.1288706,5.30654376,5.255093770093691,5.29537384243069,5.3074999140718795,5.308086512213892,0.9695574414015511,0.21049327160000791,0.018018396061982377,0.029072637175270814
1,False,VOF/bubble.0276.41.obj,VOF,0.020433397963643074,0.020433398,0.020781528,0.20041054,0.99972266,0.9999427,1.0000165,1.1980946,1.3792967,5.316462739,5.255093770093691,5.311557248147564,5.31580312722777,5.315723245484175,1.1543195526628087,0.09226982475492089,0.012406966899085626,0.013909502466747528
2,False,VOF/bubble.0212.59.obj,VOF,0.02187507599592209,0.021875076,0.023051303,0.10087579,0.999873,0.9999917,1.0000025,1.3998477,1.4784163,5.320772492,5.255093770093691,5.317423017895049,5.32114970718276,5.31915765216407,1.2343832029100987,0.06295089876492507,0.007089481524103186,0.030349725314466492
2,False,VOF/bubble.0300.76.obj,VOF,0.024493591859936714,0.024493592,0.022674482,0.24300128,0.99956477,0.999865,1.0000336,1.0501962,1.3398255,5.319771475,5.255093770093691,5.316172735209589,5.321123645196258,5.319301593223692,1.2157985584579831,0.06764839067472306,0.025417824856069814,0.008832743634120132
2,False,VOF/bubble.0169.15.obj,VOF,0.02488430216908455,0.024884302,0.022626456,0.177942,0.9998382,0.99997306,1.0000117,1.026618,1.3449967,5.321704057,5.255093770093691,5.319450484779573,5.3229838393957305,5.321505582515295,1.251672137211241,0.04234681591252384,0.02404835710560215,0.0037295287858770607
2,False,VOF/bubble.0212.34.obj,VOF,0.02547326870262623,0.025473269,0.028092619,0.38871005,0.9974395,0.99882793,1.0002224,1.1130676,1.1800201,5.313615196,5.255093770093691,5.297313625585203,5.31414970207201,5.315038277656939,1.1013485874995823,0.3067886893102116,0.010059179151935532,0.026781797409985812
2,False,VOF/bubble.0284.17.obj,VOF,0.025631869211792946,0.02563187,0.02342925,0.13039488,0.999878,0.9999871,1.0000061,1.0540843,1.3708515,5.323239893,5.255093770093691,5.320939688271732,5.3229531662892855,5.323459809786373,1.2801625377793133,0.04321061561198525,0.005386319543700568,0.004131258233576002
2,True,LBM/bubble.0083.93.obj,LBM,0.030004631727933884,0.030004632,0.033322737,0.19313915,0.9986391,0.9994993,1.0000775,1.5497816,1.570133,5.331540241,5.255093770093691,5.326187990219604,5.33585895234945,5.329148916078461,1.4338533979060948,0.10038845321351118,0.08100307142462877,0.04485242187894081
2,False,VOF/bubble.0305.82.obj,VOF,0.030407767742872238,0.030407768,0.032292794,0.48897374,0.9974296,0.99871486,1.0002881,1.0889964,1.0899025,5.31471785,5.255093770093691,5.294158917410055,5.31847173942762,5.31704780918946,1.1218672672587777,0.38683017932824265,0.07063196078452436,0.04383975321399018
2,False,VOF/bubble.0260.61.obj,VOF,0.030744453892111778,0.030744454,0.03327536,0.31591853,0.997899,0.9992294,1.0001491,1.2856578,1.4462243,5.327378959,5.255093770093691,5.315794600961919,5.326337747871191,5.326141694874223,1.3568621542154722,0.21744948364355696,0.019544529060571112,0.023224631386260654
2,False,VOF/bubble.0249.0.obj,VOF,0.031282976269721985,0.031282976,0.035854075,0.44664475,0.9956868,0.9983626,1.0003575,1.2840873,1.3133012,5.321926383,5.255093770093691,5.305720389230919,5.323392542439144,5.321454832925302,1.2557973954655788,0.30451367799541196,0.027549412254699705,0.008860514797878251
2,False,LBM/bubble.0101.146.obj,LBM,0.03142142668366432,0.031421427,0.051102214,0.41035932,0.97600985,0.9862764,1.0058296,1.2753628,1.3639102,5.327288919183329,5.255093770093691,5.308616463466767,5.330585310152471,5.324350870982753,1.3551949253149513,0.3505057825815147,0.06187745810579151,0.05515090780970479
3,False,VOF/bubble.0224.12.obj,VOF,0.031776271760463715,0.03177627,0.028575948,0.14718302,0.99945074,0.99992687,1.0000159,1.0576953,1.3928258,5.329921552,5.255093770093691,5.324526888690384,5.328450741174756,5.330668732217322,1.4039190103695067,0.10121468500022722,0.027595355970892077,0.014018596897381944
3,False,VOF/bubble.0180.12.obj,VOF,0.03208921477198601,0.032089215,0.036586896,0.40617606,0.99648035,0.9977107,1.0003699,1.0220689,1.0526782,5.319640802,5.255093770093691,5.2930367314397975,5.324518406992987,5.321802477314212,1.2133719983883553,0.5001102809460491,0.09169049517691173,0.04063573828892783
3,False,VOF/bubble.0209.53.obj,VOF,0.03344552591443062,0.033445526,0.0336579,0.5003581,0.9982415,0.99924016,1.0001956,1.0464135,1.1377494,5.318123161,5.255093770093691,5.295798682801058,5.318469736782158,5.3207317038535145,1.1851811061565847,0.4197811431419388,0.006516881457352051,0.0490500647417129
3,False,VOF/bubble.0282.16.obj,VOF,0.03349129855632782,0.0334913,0.030859211,0.26573455,0.999564,0.9998997,1.0000238,1.079081,1.4095129,5.3307394,5.255093770093691,5.325141927570511,5.332541640964038,5.330351009070105,1.41904573137282,0.10500367790419976,0.03380846124345493,0.007285873511181826
3,False,LBM/bubble.0079.105.obj,LBM,0.03375297039747238,0.03375297,0.04794899,0.3266959,0.99478644,0.99681836,1.0007616,1.2584964,1.274116,5.332668276,5.255093770093691,5.303397538143846,5.335332875250337,5.332173090653625,1.454703384709638,0.5488947810215041,0.04996746679949633,0.009285883177905829
3,True,VOF/bubble.0306.12.obj,VOF,0.03813759610056877,0.038137596,0.041322008,0.17747644,0.99911296,0.9998366,1.000027,1.5342729,1.625783,5.341046197,5.255093770093691,5.329614279505073,5.34187552911366,5.342094550904707,1.6092807239635492,0.214038918093393,0.015527521820095229,0.019628250085088252
3,False,VOF/bubble.0295.48.obj,VOF,0.04235145077109337,0.04235145,0.048272632,0.346544,0.99723953,0.99912584,1.0001614,1.649011,1.718485,5.34643827,5.255093770093691,5.337801273432962,5.349969050159042,5.344497203610546,1.7085112610176934,0.16154673692768304,0.06603985645647127,0.036305785112045234
3,False,LBM/bubble.0084.103.obj,LBM,0.044754162430763245,0.044754162,0.05292037,0.25122395,0.99891585,0.99951065,1.000175,1.5692381,1.705921,5.352727214570915,5.255093770093691,5.336857642990185,5.353071212666299,5.3532659770657265,1.8239943969394017,0.2964763744644122,0.006426594922447904,0.010065196174116494
3,False,VOF/bubble.0277.24.obj,VOF,0.04495155066251755,0.04495155,0.045621227,0.44563618,0.9961933,0.9987552,1.0002568,1.3564589,1.5793499,5.342314793,5.255093770093691,5.329235341557768,5.342540534044552,5.341361612971183,1.6326447670323436,0.24482741936829042,0.004225528694941279,0.017842079056548114
