bin,is_bin_thumbnail,mesh_id_10k,source_10k,bin_scalar,non_sph_va,non_sph_vm,non_sph_w,eta_V,eta_A,eta_M,i11_over_i00,i22_over_i00,f_gt,f_minnaert,f_strasberg,f_pred_residual,f_pred_direct,ape_minnaert,ape_strasberg,ape_residual,ape_direct
0,False,VOF/bubble.0186.59.obj,VOF,0.0031410655938088894,0.0030177648,0.0031410656,0.105483346,0.99989533,0.99998885,1.0000037,1.0387297,1.059004,5.294523925,5.255093770093691,5.293148511947639,5.295465436620764,5.2976610678045315,0.744734662924569,0.025978030732209098,0.017782743719750273,0.059252594736956994
0,False,VOF/bubble.0232.64.obj,VOF,0.004826572723686695,0.004697812,0.0048265727,0.17367613,0.9998285,0.9999687,1.0000077,1.0064368,1.0761486,5.295575787,5.255093770093691,5.293812626612392,5.296474519814421,5.298725303430722,0.7644497696678729,0.03329497033988155,0.01697138990300675,0.05947448506833749
0,False,VOF/bubble.0147.64.obj,VOF,0.00949395727366209,0.009880332,0.009493957,0.05898188,0.99995744,0.999998,1.0000006,1.0421213,1.2332448,5.303968959,5.255093770093691,5.303128119268438,5.302273798873048,5.305332132479998,0.9214833134227822,0.01585302889329736,0.03196021960262528,0.025701007877974753
0,False,VOF/bubble.0173.6.obj,VOF,0.01131685171276331,0.010761474,0.011316852,0.287743,0.9990328,0.9996001,1.0000826,1.0099595,1.1165515,5.300071348,5.255093770093691,5.295487560074776,5.300869494040874,5.302196133118452,0.8486221213471433,0.08648540037019817,0.015059156537098916,0.040089745570183175
0,True,VOF/bubble.0181.59.obj,VOF,0.01383151113986969,0.013274331,0.013831511,0.37153417,0.9989825,0.99969125,1.0000736,1.0404569,1.1172906,5.300933932,5.255093770093691,5.294916004962891,5.302023172224951,5.302663886314768,0.8647563333998141,0.11352578836685712,0.020548081506451304,0.03263489673630109
0,False,VOF/bubble.0022.22.obj,VOF,0.013937427662312984,0.013322713,0.013937428,0.11626824,0.9998911,0.99998957,1.0000029,1.2516888,1.3390172,5.308616594,5.255093770093691,5.306849110795375,5.308823759600816,5.3082377471683575,1.0082254568318796,0.033294610249730745,0.0039024404408935028,0.007136451181476609
0,False,VOF/bubble.0209.51.obj,VOF,0.013968066312372684,0.01452477,0.013968066,0.15237212,0.9998603,0.9999814,1.0000074,1.093741,1.2998304,5.309096521,5.255093770093691,5.307525308940248,5.309092353402829,5.309537659536203,1.0171740274960663,0.029594716418081708,7.84991787961336e-05,0.00830910748106385
0,False,VOF/bubble.0245.6.obj,VOF,0.014015759341418743,0.0131783895,0.014015759,0.32476735,0.99897146,0.9995163,1.0000718,1.0766866,1.0959252,5.301185111,5.255093770093691,5.29412496172045,5.302975463794649,5.302985016449885,0.8694535267344122,0.13318058380756811,0.03377268963753472,0.03395288812213208
0,False,VOF/bubble.0165.73.obj,VOF,0.01445804163813591,0.014615571,0.014458042,0.2584577,0.99956334,0.9998894,1.0000265,1.1020601,1.2424443,5.306342582,5.255093770093691,5.301561744287151,5.3056416142714635,5.30691221502672,0.9658029257318214,0.09009666524483456,0.01320999761520036,0.01073494630090073
0,False,VOF/bubble.0227.64.obj,VOF,0.014695782214403152,0.014895543,0.014695782,0.22392187,0.9994914,0.9998704,1.0000287,1.0763608,1.2716883,5.307992716,5.255093770093691,5.30533660163502,5.308230240233836,5.308461127179802,0.9965904012425478,0.050039902220931916,0.00447484099064769,0.008824638707396025
