series,label,plotted_in_fig4,bin,n,non_sphericity_lo,non_sphericity_hi,mape_pct,mape_pct_recomputed,sem_ape_pct,std_ape_pct,max_ape_pct,source_summary
minnaert,Minnaert baseline,True,0,10,0.0019973576351399736,0.013690553276060492,0.8491700307544268,0.8491700307544268,0.024843160167998205,0.07856097040724565,0.9838033037133382,summary_residual.json:metrics_per_bin_selected.minnaert
minnaert,Minnaert baseline,True,1,10,0.013690553276060492,0.019253068177619313,0.9933152581853225,0.9933152581853225,0.02086422796489545,0.06597848199004926,1.104391252882239,summary_residual.json:metrics_per_bin_selected.minnaert
minnaert,Minnaert baseline,True,2,10,0.019253068177619313,0.02979916089214819,1.1621236101331405,1.1621236101331405,0.04220309649453007,0.1334579092345829,1.3638385322840199,summary_residual.json:metrics_per_bin_selected.minnaert
minnaert,Minnaert baseline,True,3,10,0.02979916089214819,0.04176333886441781,1.3980571071538481,1.3980571071538481,0.04578257748748832,0.1447772220136121,1.633954641260648,summary_residual.json:metrics_per_bin_selected.minnaert
minnaert,Minnaert baseline,True,4,10,0.04176333886441781,0.06113646722099225,1.8980576298095706,1.8980576298095706,0.09989994171356859,0.3159113539329412,2.456348692941184,summary_residual.json:metrics_per_bin_selected.minnaert
minnaert,Minnaert baseline,True,5,10,0.06113646722099225,0.09077222642513151,2.7034035017538507,2.7034035017538507,0.1439189603873442,0.4551117133075565,3.4296774850746843,summary_residual.json:metrics_per_bin_selected.minnaert
minnaert,Minnaert baseline,True,6,10,0.09077222642513151,0.13678969501744345,4.024503899230547,4.024503899230547,0.2741308298384373,0.8668777991615096,5.574667386314231,summary_residual.json:metrics_per_bin_selected.minnaert
minnaert,Minnaert baseline,True,7,10,0.13678969501744345,0.2028391731223497,6.511614400492741,6.511614400492739,0.5479227325960481,1.7326838167868954,9.418278220437976,summary_residual.json:metrics_per_bin_selected.minnaert
minnaert,Minnaert baseline,True,8,10,0.2028391731223497,0.2929345060663594,9.187801076729583,9.187801076729583,0.6955207189471568,2.1994296317108444,13.513534797488367,summary_residual.json:metrics_per_bin_selected.minnaert
minnaert,Minnaert baseline,True,9,10,0.2929345060663594,0.5986920913080976,15.756824419291846,15.756824419291846,1.547324053189051,4.893068286440926,23.01341327805483,summary_residual.json:metrics_per_bin_selected.minnaert
strasberg,Ellipsoid proxy (Strasberg),True,0,10,0.0019973576351399736,0.013690553276060492,0.05088817926114897,0.05088817926114897,0.010624626399134428,0.03359801870961802,0.1230507812901052,summary_residual.json:metrics_per_bin_selected.strasberg
strasberg,Ellipsoid proxy (Strasberg),True,1,10,0.013690553276060492,0.019253068177619313,0.12019744619064303,0.12019744619064301,0.020081481966593054,0.06350322180603139,0.21452180509563182,summary_residual.json:metrics_per_bin_selected.strasberg
strasberg,Ellipsoid proxy (Strasberg),True,2,10,0.019253068177619313,0.02979916089214819,0.20998874712553478,0.20998874712553478,0.03490507513367256,0.11037953932171156,0.36911506210950973,summary_residual.json:metrics_per_bin_selected.strasberg
strasberg,Ellipsoid proxy (Strasberg),True,3,10,0.02979916089214819,0.04176333886441781,0.3167106932456209,0.3167106932456193,0.04942648604660011,0.15630027264578766,0.5369498224231987,summary_residual.json:metrics_per_bin_selected.strasberg
strasberg,Ellipsoid proxy (Strasberg),True,4,10,0.04176333886441781,0.06113646722099225,0.42630793219612445,0.42630793219612445,0.11758188245925266,0.37182656014143894,1.2044836613503263,summary_residual.json:metrics_per_bin_selected.strasberg
strasberg,Ellipsoid proxy (Strasberg),True,5,10,0.06113646722099225,0.09077222642513151,0.912253181270523,0.9122531812705198,0.22918923417172912,0.7247599951723583,2.017736682309839,summary_residual.json:metrics_per_bin_selected.strasberg
strasberg,Ellipsoid proxy (Strasberg),True,6,10,0.09077222642513151,0.13678969501744345,1.4808095022209828,1.4808095022209813,0.3564432266525822,1.127172452761795,3.73700916351236,summary_residual.json:metrics_per_bin_selected.strasberg
strasberg,Ellipsoid proxy (Strasberg),True,7,10,0.13678969501744345,0.2028391731223497,3.0345649058415196,3.0345649058415196,0.6565678819098689,2.0762499453476493,6.8850826312472035,summary_residual.json:metrics_per_bin_selected.strasberg
strasberg,Ellipsoid proxy (Strasberg),True,8,10,0.2028391731223497,0.2929345060663594,3.5700038294550893,3.570003829455088,0.549450294307996,1.737514391063117,6.161211952898844,summary_residual.json:metrics_per_bin_selected.strasberg
strasberg,Ellipsoid proxy (Strasberg),True,9,10,0.2929345060663594,0.5986920913080976,8.33139562696683,8.331395626966827,1.4582365184844333,4.611348765645038,15.392185071756906,summary_residual.json:metrics_per_bin_selected.strasberg
residual,Residual-learning surrogate,True,0,10,0.0019973576351399736,0.013690553276060492,0.03837563144123763,0.0383756314412393,0.005170957161015804,0.016352002311967984,0.05960508520915884,summary_residual.json:metrics_per_bin_selected.model
residual,Residual-learning surrogate,True,1,10,0.013690553276060492,0.019253068177619313,0.03680110225133163,0.036801102251333304,0.00685075019479874,0.02166397429640623,0.07567777794040167,summary_residual.json:metrics_per_bin_selected.model
residual,Residual-learning surrogate,True,2,10,0.019253068177619313,0.02979916089214819,0.04184272283822853,0.04184272283822852,0.013013262968568619,0.041151550771400994,0.13370472898195804,summary_residual.json:metrics_per_bin_selected.model
residual,Residual-learning surrogate,True,3,10,0.02979916089214819,0.04176333886441781,0.08512840254546133,0.08512840254546133,0.014992675196291357,0.04741100183939273,0.1598888981456418,summary_residual.json:metrics_per_bin_selected.model
residual,Residual-learning surrogate,True,4,10,0.04176333886441781,0.06113646722099225,0.2008246339063942,0.2008246339063942,0.06544143652670613,0.2069439927777298,0.7491698807396826,summary_residual.json:metrics_per_bin_selected.model
residual,Residual-learning surrogate,True,5,10,0.06113646722099225,0.09077222642513151,0.183731067473856,0.18373106747385604,0.06877283121779357,0.21747878778655913,0.7782285525676575,summary_residual.json:metrics_per_bin_selected.model
residual,Residual-learning surrogate,True,6,10,0.09077222642513151,0.13678969501744345,0.28612506378051716,0.28612506378051716,0.08194401843497309,0.2591297388813413,0.7210458623441348,summary_residual.json:metrics_per_bin_selected.model
residual,Residual-learning surrogate,True,7,10,0.13678969501744345,0.2028391731223497,0.7030523888858682,0.7030523888858713,0.14781093837249829,0.4674192283438764,1.3825969767301822,summary_residual.json:metrics_per_bin_selected.model
residual,Residual-learning surrogate,True,8,10,0.2028391731223497,0.2929345060663594,0.49370986156342267,0.49370986156342267,0.12972420970063292,0.4102239703193097,1.1370764749168172,summary_residual.json:metrics_per_bin_selected.model
residual,Residual-learning surrogate,True,9,10,0.2929345060663594,0.5986920913080976,1.0418293104332803,1.0418293104332803,0.4467639268604623,1.4127915852799398,4.6809725095992665,summary_residual.json:metrics_per_bin_selected.model
direct,Direct-learning surrogate,True,0,10,0.0019973576351399736,0.013690553276060492,0.10448851101146998,0.10448851101147168,0.006975788389585481,0.022059379786448122,0.1432895813944111,summary_direct.json:metrics_per_bin_selected.model
direct,Direct-learning surrogate,True,1,10,0.013690553276060492,0.019253068177619313,0.06780073881397829,0.06780073881397997,0.006428864177828087,0.020329853569802516,0.09480615332672851,summary_direct.json:metrics_per_bin_selected.model
direct,Direct-learning surrogate,True,2,10,0.019253068177619313,0.02979916089214819,0.058186222573679,0.05818622257368068,0.011725016815578169,0.037077758741001436,0.11527982861815866,summary_direct.json:metrics_per_bin_selected.model
direct,Direct-learning surrogate,True,3,10,0.02979916089214819,0.04176333886441781,0.05836989752970393,0.058369897529705596,0.013735738060112758,0.04343621761341913,0.13049826274514978,summary_direct.json:metrics_per_bin_selected.model
direct,Direct-learning surrogate,True,4,10,0.04176333886441781,0.06113646722099225,0.048437891004870864,0.048437891004869206,0.0065744188291678805,0.020790137792067943,0.08368912638110926,summary_direct.json:metrics_per_bin_selected.model
direct,Direct-learning surrogate,True,5,10,0.06113646722099225,0.09077222642513151,0.057202171724557396,0.057202171724557396,0.010521265504371512,0.03327116286117423,0.09618682285912875,summary_direct.json:metrics_per_bin_selected.model
direct,Direct-learning surrogate,True,6,10,0.09077222642513151,0.13678969501744345,0.1340031987568417,0.1340031987568417,0.03785197422972124,0.11969845249991667,0.35302142035127854,summary_direct.json:metrics_per_bin_selected.model
