series,label,in_default_figure,bin,n,mape_pct,sem_ape_pct,max_ape_pct
minnaert,Minnaert baseline,True,0,10,0.8491700307544265,0.024843160167998205,0.9838033037133382
minnaert,Minnaert baseline,True,1,10,0.9933152581853225,0.020864227964895454,1.104391252882239
minnaert,Minnaert baseline,True,2,10,1.1621236101331407,0.04220309649453008,1.36383853228402
minnaert,Minnaert baseline,True,3,10,1.3980571071538481,0.04578257748748832,1.633954641260648
minnaert,Minnaert baseline,True,4,10,1.8980576298095706,0.09989994171356859,2.456348692941184
minnaert,Minnaert baseline,True,5,10,2.703403501753851,0.1439189603873442,3.4296774850746843
minnaert,Minnaert baseline,True,6,10,4.024503899230547,0.27413082983843734,5.574667386314231
minnaert,Minnaert baseline,True,7,10,6.511614400492739,0.5479227325960481,9.418278220437976
minnaert,Minnaert baseline,True,8,10,9.187801076729585,0.6955207189471571,13.513534797488369
minnaert,Minnaert baseline,True,9,10,15.756824419291842,1.547324053189051,23.01341327805483
strasberg,Ellipsoid proxy,True,0,10,0.050888179261148934,0.010624626399134434,0.1230507812901052
strasberg,Ellipsoid proxy,True,1,10,0.12019744619064296,0.020081481966593054,0.2145218050956318
strasberg,Ellipsoid proxy,True,2,10,0.2099887471255347,0.03490507513367257,0.3691150621095097
strasberg,Ellipsoid proxy,True,3,10,0.3167106932456193,0.04942648604660012,0.5369498224231987
strasberg,Ellipsoid proxy,True,4,10,0.4263079321961244,0.11758188245925268,1.2044836613503265
strasberg,Ellipsoid proxy,True,5,10,0.9122531812705196,0.22918923417172912,2.017736682309839
strasberg,Ellipsoid proxy,True,6,10,1.4808095022209815,0.3564432266525822,3.73700916351236
strasberg,Ellipsoid proxy,True,7,10,3.03456490584152,0.6565678819098689,6.885082631247204
strasberg,Ellipsoid proxy,True,8,10,3.570003829455088,0.549450294307996,6.161211952898844
strasberg,Ellipsoid proxy,True,9,10,8.331395626966827,1.458236518484433,15.392185071756906
residual_published,Residual surrogate (published),True,0,10,0.038375631441239254,0.005170957161015801,0.0596050852091588
residual_published,Residual surrogate (published),True,1,10,0.036801102251333255,0.006850750194798737,0.0756777779404016
residual_published,Residual surrogate (published),True,2,10,0.04184272283822847,0.01301326296856862,0.133704728981958
residual_published,Residual surrogate (published),True,3,10,0.0851284025454613,0.014992675196291362,0.1598888981456418
residual_published,Residual surrogate (published),True,4,10,0.2008246339063942,0.06544143652670614,0.7491698807396826
residual_published,Residual surrogate (published),True,5,10,0.183731067473856,0.06877283121779357,0.7782285525676575
residual_published,Residual surrogate (published),True,6,10,0.28612506378051716,0.08194401843497309,0.7210458623441348
residual_published,Residual surrogate (published),True,7,10,0.7030523888858713,0.14781093837249826,1.3825969767301822
residual_published,Residual surrogate (published),True,8,10,0.49370986156342267,0.12972420970063295,1.1370764749168172
residual_published,Residual surrogate (published),True,9,10,1.0418293104332803,0.44676392686046235,4.6809725095992665
direct_published,Direct surrogate (published),True,0,10,0.10448851101147164,0.0069757883895854795,0.1432895813944111
direct_published,Direct surrogate (published),True,1,10,0.06780073881397992,0.006428864177828087,0.0948061533267285
direct_published,Direct surrogate (published),True,2,10,0.05818622257368063,0.011725016815578165,0.1152798286181586
direct_published,Direct surrogate (published),True,3,10,0.05836989752970554,0.013735738060112756,0.1304982627451497
direct_published,Direct surrogate (published),True,4,10,0.048437891004869144,0.006574418829167877,0.0836891263811092
direct_published,Direct surrogate (published),True,5,10,0.05720217172455735,0.010521265504371519,0.0961868228591287
direct_published,Direct surrogate (published),True,6,10,0.13400319875684166,0.03785197422972124,0.3530214203512785
direct_published,Direct surrogate (published),True,7,10,0.2089936249012224,0.05471636141548862,0.5750351948118292
direct_published,Direct surrogate (published),True,8,10,0.18899242306373776,0.04829196278100101,0.461349815749671
direct_published,Direct surrogate (published),True,9,10,0.5172910432258119,0.14068682901643773,1.409137171746977
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,0,10,0.01836341340592041,0.002844312013357898,0.0367831758632692
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,1,10,0.02766100384401876,0.00593900854419958,0.0511973378339056
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,2,10,0.04539666887387218,0.012462942282428119,0.1302280191108166
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,3,10,0.08311203837808505,0.01503691225268449,0.1560509226874717
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,4,10,0.1757080225344879,0.039428418528825435,0.48293032013087
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,5,10,0.16817175156163972,0.061998756614248265,0.7011775584614969
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,6,10,0.28470728911465587,0.07734502921226784,0.6302243485876441
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,7,10,0.6660703252644142,0.15818548755518486,1.6531811962432117
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,8,10,0.429120741632622,0.11388379752417033,0.949189630678812
residual_retrained_6feat,"Residual, retrained on 10k (6 feat)",False,9,10,1.0632449088489329,0.49726242514840047,5.0680917409886685
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,0,10,0.04887485232203987,0.005598253691701285,0.0808446390625128
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,1,10,0.02627005724918794,0.005291872670433416,0.048923535162273
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,2,10,0.037994835565126284,0.007943259329474414,0.0857601531238321
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,3,10,0.05133892635530154,0.010861612871002084,0.1124775686710869
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,4,10,0.05417850014232091,0.012498947775984296,0.1382590564173355
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,5,10,0.0554556575396624,0.017024786768751604,0.160918825356222
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,6,10,0.11430794584715717,0.03845479837581663,0.4080132873060282
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,7,10,0.18600914147578634,0.04062059728560339,0.4148840543647083
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,8,10,0.14323331514852344,0.032748766729759474,0.3444447908874679
direct_retrained_6feat,"Direct, retrained on 10k (6 feat)",False,9,10,0.36833532810365177,0.1179196912495636,1.2084425930392473
