path,n_vertices
<mesh-tree>/bub_1/frame_00000.obj,2622
<mesh-tree>/bub_1/frame_00400.obj,2622
<mesh-tree>/bub_1/frame_00450.obj,2854
<mesh-tree>/bub_1/frame_00500.obj,2882
<mesh-tree>/bub_1/frame_00550.obj,3002
<mesh-tree>/bub_1/frame_00600.obj,3056
<mesh-tree>/bub_1/frame_00650.obj,2962
<mesh-tree>/bub_1/frame_00700.obj,2934
<mesh-tree>/bub_1/frame_00750.obj,2902
<mesh-tree>/bub_1/frame_00800.obj,2898
<mesh-tree>/bub_1/frame_00850.obj,2964
<mesh-tree>/bub_1/frame_00900.obj,2930
<mesh-tree>/bub_1/frame_00950.obj,2988
<mesh-tree>/bub_1/frame_01000.obj,3120
<mesh-tree>/bub_1/frame_01050.obj,3202
<mesh-tree>/bub_1/frame_01100.obj,3284
<mesh-tree>/bub_1/frame_01150.obj,3368
<mesh-tree>/bub_1/frame_01200.obj,3454
<mesh-tree>/bub_1/frame_01250.obj,3602
<mesh-tree>/bub_1/frame_01300.obj,3794
<mesh-tree>/bub_1/frame_01350.obj,3960
<mesh-tree>/bub_1/frame_01400.obj,4106
<mesh-tree>/bub_1/frame_01450.obj,4148
<mesh-tree>/bub_1/frame_01500.obj,4156
<mesh-tree>/bub_1/frame_01550.obj,4114
<mesh-tree>/bub_1/frame_01600.obj,4240
<mesh-tree>/bub_1/frame_01650.obj,4220
<mesh-tree>/bub_1/frame_01700.obj,4230
<mesh-tree>/bub_1/frame_01750.obj,4280
<mesh-tree>/bub_1/frame_01800.obj,4388
<mesh-tree>/bub_1/frame_01850.obj,4522
<mesh-tree>/bub_1/frame_01900.obj,4576
<mesh-tree>/bub_1/frame_01950.obj,4742
<mesh-tree>/bub_1/frame_02000.obj,4914
<mesh-tree>/bub_1/frame_02050.obj,5156
<mesh-tree>/bub_1/frame_02100.obj,5490
<mesh-tree>/bub_1/frame_02150.obj,5662
<mesh-tree>/bub_1/frame_02200.obj,5886
<mesh-tree>/bub_1/frame_02250.obj,5962
<mesh-tree>/bub_1/frame_02300.obj,5974
<mesh-tree>/bub_1/frame_02350.obj,5864
<mesh-tree>/bub_1/frame_02400.obj,5858
<mesh-tree>/bub_1/frame_02450.obj,5576
<mesh-tree>/bub_1/frame_02500.obj,5368
<mesh-tree>/bub_1/frame_02550.obj,5310
<mesh-tree>/bub_1/frame_02600.obj,5184
<mesh-tree>/bub_1/frame_02650.obj,5140
<mesh-tree>/bub_1/frame_02700.obj,5036
<mesh-tree>/bub_1/frame_02750.obj,4986
<mesh-tree>/bub_1/frame_02800.obj,5004
<mesh-tree>/bub_1/frame_02850.obj,4988
<mesh-tree>/bub_1/frame_02900.obj,5012
<mesh-tree>/bub_1/frame_02950.obj,4882
<mesh-tree>/bub_1/frame_03000.obj,4832
<mesh-tree>/bub_1/frame_03050.obj,4740
<mesh-tree>/bub_1/frame_03100.obj,4512
<mesh-tree>/bub_1/frame_03150.obj,4308
<mesh-tree>/bub_1/frame_03200.obj,4428
<mesh-tree>/bub_1/frame_03250.obj,4462
<mesh-tree>/bub_1/frame_03300.obj,4434
<mesh-tree>/bub_1/frame_03350.obj,4486
<mesh-tree>/bub_1/frame_03400.obj,4536
<mesh-tree>/bub_1/frame_03450.obj,4692
<mesh-tree>/bub_1/frame_03500.obj,4892
<mesh-tree>/bub_1/frame_03550.obj,5044
<mesh-tree>/bub_1/frame_03600.obj,5032
<mesh-tree>/bub_1/frame_03650.obj,5098
<mesh-tree>/bub_1/frame_03700.obj,5170
<mesh-tree>/bub_1/frame_03750.obj,5264
<mesh-tree>/bub_1/frame_03800.obj,4934
<mesh-tree>/bub_1/frame_03850.obj,4842
<mesh-tree>/bub_1/frame_03900.obj,4666
<mesh-tree>/bub_1/frame_03950.obj,4728
<mesh-tree>/bub_1/frame_04000.obj,4806
<mesh-tree>/bub_1/frame_04050.obj,4898
<mesh-tree>/bub_1/frame_04100.obj,4938
<mesh-tree>/bub_1/frame_04150.obj,4834
<mesh-tree>/bub_1/frame_04200.obj,4870
<mesh-tree>/bub_1/frame_04250.obj,5000
<mesh-tree>/bub_1/frame_04300.obj,5086
<mesh-tree>/bub_1/frame_04350.obj,5380
<mesh-tree>/bub_1/frame_04400.obj,5498
<mesh-tree>/bub_1/frame_04450.obj,5744
<mesh-tree>/bub_1/frame_04500.obj,5980
<mesh-tree>/bub_1/frame_04550.obj,6206
<mesh-tree>/bub_1/frame_04600.obj,6298
<mesh-tree>/bub_1/frame_04650.obj,6340
<mesh-tree>/bub_1/frame_04700.obj,6280
<mesh-tree>/bub_1/frame_04750.obj,5864
<mesh-tree>/bub_1/frame_04800.obj,5662
<mesh-tree>/bub_1/frame_04850.obj,5492
<mesh-tree>/bub_1/frame_04900.obj,5400
<mesh-tree>/bub_1/frame_04950.obj,5342
<mesh-tree>/bub_1/frame_05000.obj,5194
<mesh-tree>/bub_1/frame_05050.obj,5194
<mesh-tree>/bub_1/frame_05100.obj,5090
<mesh-tree>/bub_1/frame_05150.obj,5096
<mesh-tree>/bub_1/frame_05200.obj,5132
<mesh-tree>/bub_1/frame_05250.obj,5184
<mesh-tree>/bub_1/frame_05300.obj,5206
<mesh-tree>/bub_1/frame_05350.obj,5136
<mesh-tree>/bub_1/frame_05400.obj,5120
<mesh-tree>/bub_1/frame_05450.obj,5022
<mesh-tree>/bub_1/frame_05500.obj,4954
<mesh-tree>/bub_1/frame_05550.obj,5168
<mesh-tree>/bub_1/frame_05600.obj,5270
<mesh-tree>/bub_1/frame_05650.obj,5318
<mesh-tree>/bub_1/frame_05700.obj,5408
<mesh-tree>/bub_1/frame_05750.obj,5464
<mesh-tree>/bub_1/frame_05800.obj,5468
<mesh-tree>/bub_1/frame_05850.obj,5510
<mesh-tree>/bub_1/frame_05900.obj,5534
<mesh-tree>/bub_1/frame_05950.obj,5582
<mesh-tree>/bub_1/frame_06000.obj,5644
<mesh-tree>/bub_1/frame_06050.obj,5688
<mesh-tree>/bub_1/frame_06100.obj,5774
<mesh-tree>/bub_1/frame_06150.obj,5938
<mesh-tree>/bub_1/frame_06200.obj,5992
<mesh-tree>/bub_1/frame_06250.obj,6016
<mesh-tree>/bub_1/frame_06300.obj,5960
<mesh-tree>/bub_1/frame_06350.obj,5880
<mesh-tree>/bub_1/frame_06400.obj,5716
<mesh-tree>/bub_1/frame_06450.obj,5586
<mesh-tree>/bub_1/frame_06500.obj,5442
<mesh-tree>/bub_1/frame_06550.obj,5320
<mesh-tree>/bub_1/frame_06600.obj,5260
<mesh-tree>/bub_1/frame_06650.obj,5150
<mesh-tree>/bub_1/frame_06700.obj,5178
<mesh-tree>/bub_1/frame_06750.obj,5176
<mesh-tree>/bub_1/frame_06800.obj,5216
<mesh-tree>/bub_1/frame_06850.obj,5258
<mesh-tree>/bub_1/frame_06900.obj,5430
<mesh-tree>/bub_1/frame_06950.obj,5514
<mesh-tree>/bub_1/frame_07000.obj,5576
<mesh-tree>/bub_1/frame_07050.obj,5702
<mesh-tree>/bub_1/frame_07100.obj,5742
<mesh-tree>/bub_1/frame_07150.obj,5770
<mesh-tree>/bub_1/frame_07200.obj,5848
<mesh-tree>/bub_1/frame_07250.obj,5802
<mesh-tree>/bub_1/frame_07300.obj,5754
<mesh-tree>/bub_1/frame_07350.obj,5670
<mesh-tree>/bub_1/frame_07400.obj,5868
<mesh-tree>/bub_1/frame_07450.obj,5866
<mesh-tree>/bub_1/frame_07500.obj,5894
<mesh-tree>/bub_1/frame_07550.obj,5830
<mesh-tree>/bub_1/frame_07600.obj,5774
<mesh-tree>/bub_1/frame_07650.obj,5592
<mesh-tree>/bub_1/frame_07700.obj,5568
<mesh-tree>/bub_1/frame_07750.obj,5568
<mesh-tree>/bub_1/frame_07800.obj,5702
<mesh-tree>/bub_1/frame_07850.obj,5564
<mesh-tree>/bub_1/frame_07900.obj,5580
<mesh-tree>/bub_1/frame_07950.obj,5612
<mesh-tree>/bub_1/frame_08000.obj,5660
<mesh-tree>/bub_1/frame_08050.obj,5666
<mesh-tree>/bub_1/frame_08100.obj,5740
<mesh-tree>/bub_1/frame_08150.obj,5798
<mesh-tree>/bub_1/frame_08200.obj,5978
<mesh-tree>/bub_1/frame_08250.obj,6046
<mesh-tree>/bub_1/frame_08300.obj,6048
<mesh-tree>/bub_1/frame_08350.obj,5940
<mesh-tree>/bub_1/frame_08400.obj,5888
<mesh-tree>/bub_1/frame_08450.obj,5958
<mesh-tree>/bub_1/frame_08500.obj,5950
<mesh-tree>/bub_1/frame_08550.obj,6080
<mesh-tree>/bub_1/frame_08600.obj,6226
<mesh-tree>/bub_1/frame_08650.obj,6256
<mesh-tree>/bub_1/frame_08700.obj,6340
<mesh-tree>/bub_1/frame_08750.obj,6288
<mesh-tree>/bub_1/frame_08800.obj,6286
<mesh-tree>/bub_1/frame_08850.obj,6144
<mesh-tree>/bub_1/frame_08900.obj,5978
<mesh-tree>/bub_1/frame_08950.obj,5786
<mesh-tree>/bub_1/frame_09000.obj,5686
<mesh-tree>/bub_1/frame_09050.obj,5760
<mesh-tree>/bub_1/frame_09100.obj,5808
<mesh-tree>/bub_1/frame_09150.obj,5936
<mesh-tree>/bub_1/frame_09200.obj,6096
<mesh-tree>/bub_1/frame_09250.obj,6008
