bub_id,n_solves,total_bem_s,total_assemble_s,total_solve_s,mean_f_unit_hz,median_f_unit_hz,min_f_unit_hz,max_f_unit_hz
1,6,107.3629,104.1578,3.2052,5.9634,5.9523,5.7539,6.1978
71,1,81.2391,79.7774,1.4618,5.4283,5.4283,5.4283,5.4283
207,1,69.0879,67.5448,1.5431,5.5443,5.5443,5.5443,5.5443
258,1,2.2619,2.0564,0.2054,6.3587,6.3587,6.3587,6.3587
440,1,0.6827,0.52,0.1627,8.9396,8.9396,8.9396,8.9396
574,1,1.1698,1.0301,0.1396,8.2529,8.2529,8.2529,8.2529
575,1,8.8696,8.7827,0.0869,5.4344,5.4344,5.4344,5.4344
707,1,1.7768,1.6291,0.1476,6.2089,6.2089,6.2089,6.2089
715,1,0.9626,0.9406,0.0221,5.3205,5.3205,5.3205,5.3205
818,2,1.4233,1.2092,0.2141,6.0704,6.0704,5.3359,6.8049
819,108,84.1346,81.2476,2.887,5.453,5.3679,5.3148,6.5013
830,1,10.9809,10.7421,0.2388,5.9154,5.9154,5.9154,5.9154
832,1,4.6038,4.4606,0.1433,5.4342,5.4342,5.4342,5.4342
983,1,0.8888,0.8753,0.0135,5.3129,5.3129,5.3129,5.3129
986,1,18.5137,18.0939,0.4198,6.0292,6.0292,6.0292,6.0292
1044,1,5.4668,5.4323,0.0345,6.3538,6.3538,6.3538,6.3538
1109,1,54.4029,53.4398,0.9631,6.5314,6.5314,6.5314,6.5314
1131,1,5.038,4.877,0.161,6.3052,6.3052,6.3052,6.3052
1134,1,9.4419,9.3177,0.1242,5.4369,5.4369,5.4369,5.4369
1145,1,1.9508,1.8979,0.053,5.5109,5.5109,5.5109,5.5109
1254,1,0.264,0.2547,0.0094,5.3912,5.3912,5.3912,5.3912
1274,1,5.8324,5.7528,0.0796,5.4328,5.4328,5.4328,5.4328
1298,1,0.7947,0.7834,0.0113,5.4359,5.4359,5.4359,5.4359
1299,1,3.9055,3.8471,0.0584,6.3389,6.3389,6.3389,6.3389
1311,10,19.6466,19.2488,0.3978,5.6275,5.4455,5.3831,6.3525
1312,12,81.4554,80.0284,1.427,5.7799,5.826,5.3811,6.6135
1403,1,2.145,2.1014,0.0436,5.9451,5.9451,5.9451,5.9451
1412,1,1.072,1.0576,0.0143,5.834,5.834,5.834,5.834
1414,3,1.6915,1.6492,0.0423,5.4608,5.4395,5.4254,5.5174
1422,1,3.5709,3.4739,0.097,6.3414,6.3414,6.3414,6.3414
1427,1,0.7874,0.7341,0.0533,5.564,5.564,5.564,5.564
1430,1,2.9522,2.9283,0.0239,5.5172,5.5172,5.5172,5.5172
1507,1,1.0029,0.9572,0.0457,6.6597,6.6597,6.6597,6.6597
1550,1,0.2555,0.2453,0.0101,5.3192,5.3192,5.3192,5.3192
1568,1,1.0225,0.9932,0.0293,6.018,6.018,6.018,6.018
1569,1,1.3451,1.3221,0.023,6.3518,6.3518,6.3518,6.3518
1573,1,0.7833,0.7706,0.0128,5.7406,5.7406,5.7406,5.7406
1708,1,6.1264,6.0635,0.0629,5.9342,5.9342,5.9342,5.9342
1729,1,0.3859,0.3567,0.0292,5.7562,5.7562,5.7562,5.7562
1741,1,3.16,3.0754,0.0846,6.3367,6.3367,6.3367,6.3367
1742,1,1.3384,1.3012,0.0371,5.8321,5.8321,5.8321,5.8321
1843,1,1.662,1.4355,0.2265,6.4424,6.4424,6.4424,6.4424
1865,4,15.3945,15.1894,0.2051,5.623,5.6368,5.3592,5.8594
1869,4,2.9856,2.8422,0.1434,5.5436,5.5576,5.337,5.7221
1878,1,5.5342,5.4633,0.0709,6.1999,6.1999,6.1999,6.1999
1898,1,0.7229,0.7006,0.0223,5.5949,5.5949,5.5949,5.5949
1899,1,0.5626,0.5427,0.0199,5.3854,5.3854,5.3854,5.3854
2023,1,0.4072,0.3856,0.0216,5.4635,5.4635,5.4635,5.4635
2035,2,4.8124,4.7097,0.1027,5.6012,5.6012,5.3281,5.8743
2045,1,0.923,0.8655,0.0575,5.7685,5.7685,5.7685,5.7685
2182,1,8.1996,6.9994,1.2002,5.5067,5.5067,5.5067,5.5067
2184,1,0.4953,0.4749,0.0204,5.3704,5.3704,5.3704,5.3704
2185,1,0.4713,0.4476,0.0237,5.4504,5.4504,5.4504,5.4504
2345,1,3.2762,3.2257,0.0505,6.5512,6.5512,6.5512,6.5512
2348,1,0.3996,0.3801,0.0195,5.5319,5.5319,5.5319,5.5319
2349,1,1.4772,1.4597,0.0175,5.6871,5.6871,5.6871,5.6871
2352,1,6.5827,6.5071,0.0756,6.3563,6.3563,6.3563,6.3563
2538,2,3.4051,3.3069,0.0983,5.7193,5.7193,5.66,5.7786
2543,1,30.1218,29.3976,0.7242,5.7641,5.7641,5.7641,5.7641
2568,5,6.8209,6.5417,0.2792,5.664,5.6032,5.3296,6.0125
2626,1,0.524,0.5007,0.0233,5.8599,5.8599,5.8599,5.8599
2691,1,31.3316,30.6041,0.7275,5.8533,5.8533,5.8533,5.8533
2705,5,18.1489,17.8845,0.2643,5.5066,5.3493,5.3393,5.9125
2713,9,26.6845,26.3823,0.3022,5.7009,5.5669,5.3425,6.1598
2736,1,1.0067,0.9852,0.0215,5.5616,5.5616,5.5616,5.5616
2741,1,3.0809,3.0345,0.0464,6.6169,6.6169,6.6169,6.6169
2742,1,2.2599,2.2298,0.0302,6.2081,6.2081,6.2081,6.2081
2824,5,11.6173,11.4354,0.1818,5.5117,5.3556,5.3286,5.8778
2917,1,2.8202,2.7936,0.0266,5.5282,5.5282,5.5282,5.5282
2918,1,0.5151,0.4983,0.0168,5.3349,5.3349,5.3349,5.3349
2925,4,40.395,39.343,1.0519,5.7303,5.7407,5.4694,5.9703
2929,1,8.9224,8.7211,0.2013,5.6226,5.6226,5.6226,5.6226
2935,1,0.4209,0.4032,0.0177,5.3618,5.3618,5.3618,5.3618
2936,1,0.6011,0.5771,0.024,5.4883,5.4883,5.4883,5.4883
2937,1,0.4813,0.4616,0.0197,5.4537,5.4537,5.4537,5.4537
3121,1,3.1978,3.1086,0.0891,5.6043,5.6043,5.6043,5.6043
3129,6,8.9675,8.8146,0.153,5.4446,5.4005,5.3425,5.7685
3139,1,1.3915,1.3645,0.0271,5.7483,5.7483,5.7483,5.7483
3148,1,1.0688,1.0567,0.012,5.5498,5.5498,5.5498,5.5498
3149,1,23.1956,22.7268,0.4689,5.7844,5.7844,5.7844,5.7844
3150,1,0.7571,0.7483,0.0088,5.3515,5.3515,5.3515,5.3515
3154,1,34.4488,33.6997,0.7491,6.5195,6.5195,6.5195,6.5195
3236,2,36.7598,36.1444,0.6154,5.9458,5.9458,5.8819,6.0098
3240,1,4.6856,4.3859,0.2997,6.5763,6.5763,6.5763,6.5763
3303,1,0.7406,0.7186,0.022,5.4393,5.4393,5.4393,5.4393
3326,10,9.1609,8.9526,0.2083,5.5403,5.3982,5.349,5.9803
3328,1,0.5247,0.503,0.0217,5.4192,5.4192,5.4192,5.4192
3338,1,0.3487,0.3311,0.0176,5.3977,5.3977,5.3977,5.3977
3381,1,0.3931,0.3041,0.0889,6.5054,6.5054,6.5054,6.5054
3385,1,4.1208,4.0087,0.1121,5.9552,5.9552,5.9552,5.9552
3386,1,1.1519,1.1171,0.0348,5.4225,5.4225,5.4225,5.4225
3387,1,0.4665,0.4393,0.0272,5.593,5.593,5.593,5.593
3389,1,15.231,14.69,0.541,5.5748,5.5748,5.5748,5.5748
